##,##
time,IPktTime,CumLoss
3.343,517.0,0
3.417,74.0,0
3.431,14.0,0
3.467,36.0,0
3.499,32.0,0
3.523,24.0,0
3.581,58.0,0
3.621,40.0,0
3.652,31.0,0
3.761,109.0,0
3.839,78.0,0
3.87,31.0,0
3.918,48.0,0
3.934,16.0,0
3.996,62.0,0
4.012,16.0,0
4.059,47.0,0
4.152,93.0,0
4.199,47.0,0
4.23,31.0,0
4.277,47.0,0
4.293,16.0,0
4.339,46.0,0
4.355,16.0,0
4.402,47.0,0
4.464,62.0,0
4.573,109.0,0
4.589,16.0,0
4.62,31.0,0
4.667,47.0,0
4.698,31.0,0
4.761,63.0,0
4.776,15.0,0
4.823,47.0,0
4.839,16.0,0
4.885,46.0,0
4.964,79.0,0
4.98,16.0,0
5.027,47.0,0
5.042,15.0,0
5.074,32.0,0
5.12,46.0,0
5.136,16.0,0
5.183,47.0,0
5.198,15.0,0
5.245,47.0,0
5.261,16.0,0
5.401,140.0,0
5.418,17.0,0
5.465,47.0,0
5.48,15.0,0
5.527,47.0,0
5.543,16.0,0
5.589,46.0,0
5.605,16.0,0
5.652,47.0,0
5.667,15.0,0
5.777,110.0,0
5.792,15.0,0
5.839,47.0,0
5.855,16.0,0
5.901,46.0,0
5.918,17.0,0
5.965,47.0,0
5.98,15.0,0
6.027,47.0,0
6.121,94.0,0
6.152,31.0,0
6.199,47.0,0
6.214,15.0,0
6.23,16.0,0
6.277,47.0,0
6.292,15.0,0
6.339,47.0,0
6.355,16.0,0
6.402,47.0,0
6.417,15.0,0
6.465,48.0,0
6.481,16.0,0
6.527,46.0,0
6.543,16.0,0
6.605,62.0,0
6.621,16.0,0
6.637,16.0,0
6.683,46.0,0
6.699,16.0,0
6.746,47.0,0
6.761,15.0,0
6.808,47.0,0
6.824,16.0,0
6.871,47.0,0
6.886,15.0,0
6.933,47.0,0
6.996,63.0,0
7.012,16.0,0
7.043,31.0,0
7.09,47.0,0
7.106,16.0,0
7.152,46.0,0
7.168,16.0,0
7.215,47.0,0
7.23,15.0,0
7.262,32.0,0
7.293,31.0,0
7.34,47.0,0
7.418,78.0,0
7.433,15.0,0
7.46,27.0,0
7.515,55.0,0
7.53,15.0,0
7.577,47.0,0
7.593,16.0,0
7.639,46.0,0
7.655,16.0,0
7.702,47.0,0
7.717,15.0,0
7.764,47.0,0
7.811,47.0,0
